what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489804306835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489804314417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489804314604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489804314885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489804341530
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1489804346912
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489804367551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489806747304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489807868049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489807869515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489807871621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489807871699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489807880213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1489808021862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489808025855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489808031081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489808035278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1489808035293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489808069223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489808262336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489808264364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489808266033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489808266096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489808268014
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489808268514
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1489808269387
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1489808269387
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1489808269465
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1489808269512
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1489808269574
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1489808269621
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1490879718947
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1490879718947
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1490879718962
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1490879719149
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1490879719149
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1490879719149
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1490879719149
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1490879719149
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1490879719149
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1490879719149
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1490879719149
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1490879719165
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1490879719165
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1490879719165
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1490879719165
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1490879719165
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1490879719165
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1490879719165
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1490879719181
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1490879719196
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1490879719196
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1490879719196
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1490879719196
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1490879719212
