what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881480086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881487745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881489555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881489865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881493594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881510114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881511971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881512314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881516554
error,log,,,"Invalid stack frame",1490881576053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881582979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881600093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881604133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881606723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881616847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881626691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881633165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881645972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881656143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881677359
error,log,,,"Invalid stack frame",1490881694832
error,log,,,"Invalid stack frame",1490881713349
error,log,,,"Invalid stack frame",1490881732568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490881733301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881754658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881762567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881765297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881765531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881772642
error,log,,,"Invalid stack frame",1490881779038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881788460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881790941
error,log,,,"Invalid stack frame",1490881801412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881820164
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1490881838806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881840600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881843829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881847869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881849476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881849616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881859210
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490881868611
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490881885334
error,log,,,"Invalid stack frame",1490881888064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881908859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881910325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881939907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490881979126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881995069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490881996660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490882042140
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1490882045338
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1490882069942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490882074638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490882419071
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490882419492
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490882419617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490882665598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490882678718
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1490882690449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490882690480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490882692898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490882778327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490882796361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490882809527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490882836484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490882842240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490882843317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490882846920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1490882885016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1490882886279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490882897886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490882900522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490882916874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490882918980
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1490882925320
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1490882943978
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1490882944758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490883108168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490883108651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490883108667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490883108698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490883108714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490883108745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490883108776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490883108792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490883108823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490883108854
